id,title,slug,status
,"HIT100: Information Technology — Course Syllabus",hit100-information-technology-course-syllabus,test-deleted
55d4be68-8f77-4494-9809-04e6bf7dce1c,"HIT100: Information Technology — Course Syllabus",hit100-information-technology-course-syllabus,published
4efe5421-e8a9-438f-b9ce-0b61d1705d92,"Internet Computing — HIT100 Course Notes",internet-computing-hit100-course-notes,published
7b2b7b24-3cd3-4d9e-ab08-2130db81d906,"MS Word — HIT100 Course Notes",ms-word-hit100-course-notes,published
4587ecc7-ed37-45ec-98f4-8fb792c97d61,"MS Excel — HIT100 Course Notes",ms-excel-hit100-course-notes,published
eabbf788-e338-4708-be29-b790f9172f66,"SPSS Statistical Analysis — HIT100 Course Notes",spss-statistical-analysis-hit100-course-notes,published
44d09b9b-421b-4982-93a0-b44c78359e15,"HIT100 ICT Revision Questions & Answers — Past Papers Compilation",hit100-ict-revision-questions-and-answers-past-papers-compilation,published
